Description,Exchange_Name,Commodity_Indicator,Product_Description,Future_Option_Indicator,CME__Globex__Volume,Pit_Volume,ExPit_Volume,OTC_Volume,Total_Volume,MTD_ADV,Open_Interest,trade_date
EQUITY INDEX,Chicago Mercantile Exchange (STATS),MNQ,MICRO E-MINI NASDAQ 100 FUTURE,F,170488.0,0.0,0.0,0.0,170488.0,170488.0,16775.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),RTY,EMINI RUSSELL 2000 INDEX FUTURES,F,162437.0,0.0,0.0,1400.0,163837.0,163837.0,484286.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EW3,EOW3 MINI S&P PUT,O,86913.0,0.0,0.0,0.0,86913.0,86913.0,538035.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EW1,EOW1 MINI S&P PUT,O,73318.0,0.0,0.0,0.0,73318.0,73318.0,272507.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),ES,E-MINI S&P 500 PUT,O,53699.0,0.0,0.0,0.0,53699.0,53699.0,921731.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EW1,EOW1 MINI S&P CALL,O,52393.0,0.0,0.0,0.0,52393.0,52393.0,69989.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EW,EOM EMINI S&P 500 PUT,O,43393.0,0.0,0.0,0.0,43393.0,43393.0,378129.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),ES,E-MINI S&P 500 CALL,O,43249.0,0.0,0.0,0.0,43249.0,43249.0,357668.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EW3,EOW3 MINI S&P CALL,O,42611.0,0.0,0.0,0.0,42611.0,42611.0,255167.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EW2,EOW2 MINI S&P PUT,O,40476.0,0.0,0.0,0.0,40476.0,40476.0,88500.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),M2K,MICRO E-MINI RUSSELL 2000 INDEX FUT,F,35378.0,0.0,0.0,0.0,35378.0,35378.0,4142.0,20200102
EQUITY INDEX,Chicago Board of Trade (STATS),MYM,MICRO E-MINI DOW JONES AVE FUTURE,F,32169.0,0.0,0.0,0.0,32169.0,32169.0,4406.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E1A,E-MINI S&P 500 MONDAY WEEKLY PUT,O,29459.0,0.0,0.0,0.0,29459.0,29459.0,78217.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EW,EOM EMINI S&P 500 CALL,O,27122.0,0.0,0.0,0.0,27122.0,27122.0,212049.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),N1,NIKKEI (YEN),F,27004.0,0.0,0.0,0.0,27004.0,27004.0,59288.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),ME,E-MINI S&P MIDCAP 400 FUTURE,F,17553.0,0.0,0.0,221.0,17774.0,17774.0,78400.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E1A,E-MINI S&P 500 MONDAY WEEKLY CALL,O,17365.0,0.0,0.0,0.0,17365.0,17365.0,18579.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EW2,EOW2 MINI S&P CALL,O,11889.0,0.0,0.0,0.0,11889.0,11889.0,34333.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EW4,EOW4 MINI S&P PUT,O,11569.0,0.0,0.0,0.0,11569.0,11569.0,24843.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E2C,E-MINI S&P 500 WEDNESDAY WEEK2 PUT,O,10015.0,0.0,0.0,0.0,10015.0,10015.0,32558.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E3C,E-MINI S&P 500 WEDNESDAY WEEK3 PUT,O,7860.0,0.0,0.0,0.0,7860.0,7860.0,18230.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),NK,NIKKEI ($),F,6562.0,0.0,0.0,0.0,6562.0,6562.0,21728.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EV,EOM S&P 500 PUT,O,0.0,5690.0,0.0,0.0,5690.0,5690.0,21239.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EW4,EOW4 MINI S&P CALL,O,5669.0,0.0,0.0,0.0,5669.0,5669.0,26515.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E2C,E-MINI S&P 500 WEDNESDAY WEEK2 CALL,O,5154.0,0.0,0.0,0.0,5154.0,5154.0,15103.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),BTC,BITCOIN FUTURES,F,4964.0,0.0,0.0,0.0,4964.0,4964.0,3650.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),QN1,E-MINI NASDAQ 100 WKLY ONE PUT,O,4909.0,0.0,0.0,0.0,4909.0,4909.0,7216.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),SP,S&P 500 PUT,O,0.0,4875.0,0.0,0.0,4875.0,4875.0,31392.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EV2,EOW2 S&P 500 PUT,O,0.0,4355.0,0.0,0.0,4355.0,4355.0,7129.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EV1,EOW1 S&P 500 PUT,O,0.0,3473.0,0.0,0.0,3473.0,3473.0,47036.0,20200102
EQUITY INDEX,Chicago Board of Trade (STATS),JR,US REAL EST F,F,2196.0,0.0,0.0,1050.0,3246.0,3246.0,40660.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E3A,E-MINI S&P 500 MONDAY WEEKLY PUT,O,3225.0,0.0,0.0,0.0,3225.0,3225.0,5369.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EV3,EOW3 S&P 500 PUT,O,0.0,3173.0,0.0,0.0,3173.0,3173.0,46800.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E2A,E-MINI S&P 500 MONDAY WEEKLY PUT,O,3040.0,0.0,0.0,0.0,3040.0,3040.0,9409.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),S2C,S&P 500 WEDNESDAY WEEK2 PUT,O,0.0,2890.0,0.0,0.0,2890.0,2890.0,2990.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),XAF,E-mini S&P FIN F XAF FUTURE,F,452.0,0.0,0.0,2352.0,2804.0,2804.0,28589.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),S1A,S&P 500 MONDAY WEEKLY PUT,O,0.0,2440.0,0.0,0.0,2440.0,2440.0,19140.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),XAV,E-mini S&P HEALTH F XAV FUTURE,F,268.0,0.0,0.0,2141.0,2409.0,2409.0,18078.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E3C,E-MINI S&P 500 WEDNESDAY WEEK3 CALL,O,2314.0,0.0,0.0,0.0,2314.0,2314.0,6740.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E4C,E-MINI S&P 500 WEDNESDAY WEEK4 PUT,O,2060.0,0.0,0.0,0.0,2060.0,2060.0,9682.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),S2C,S&P 500 WEDNESDAY WEEK2 CALL,O,0.0,1980.0,0.0,0.0,1980.0,1980.0,2380.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),ESG,E-MINI S&P 500 ESG INDEX FUTURES,F,216.0,0.0,0.0,1640.0,1856.0,1856.0,3634.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),SP,S&P 500 FUTURES,F,21.0,179.0,0.0,1642.0,1842.0,1842.0,24150.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),QN1,E-MINI NASDAQ 100 WKLY ONE CALL,O,1554.0,0.0,0.0,0.0,1554.0,1554.0,2515.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EV1,EOW1 S&P 500 CALL,O,0.0,1450.0,0.0,0.0,1450.0,1450.0,13935.0,20200102
EQUITY INDEX,Chicago Board of Trade (STATS),70,BLOOMBERG COMMODITY INDEX FUTURES,F,1397.0,0.0,0.0,0.0,1397.0,1397.0,15753.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),QN2,E-MINI NASDAQ 100 WKLY TWO CALL,O,1392.0,0.0,0.0,0.0,1392.0,1392.0,2356.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),QN3,E-MINI NASDAQ 100 WKLY THREE CALL,O,1355.0,0.0,0.0,0.0,1355.0,1355.0,8536.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E4A,E-MINI S&P 500 MONDAY WEEKLY PUT,O,1325.0,0.0,0.0,0.0,1325.0,1325.0,1579.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E2A,E-MINI S&P 500 MONDAY WEEKLY CALL,O,1256.0,0.0,0.0,0.0,1256.0,1256.0,2228.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E5C,E-MINI S&P 500 WEDNESDAY WEEK5 PUT,O,1212.0,0.0,0.0,0.0,1212.0,1212.0,5188.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),QN3,E-MINI NASDAQ 100 WKLY THREE PUT,O,1178.0,0.0,0.0,0.0,1178.0,1178.0,11245.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EV3,EOW3 S&P 500 CALL,O,0.0,1148.0,0.0,0.0,1148.0,1148.0,10891.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EV4,EOW4 S&P 500 PUT,O,0.0,1084.0,0.0,0.0,1084.0,1084.0,1960.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),NQ,E-MINI NASDAQ 100 PUT,O,1084.0,0.0,0.0,0.0,1084.0,1084.0,9127.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E5C,E-MINI S&P 500 WEDNESDAY WEEK5 CALL,O,1055.0,0.0,0.0,0.0,1055.0,1055.0,2642.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EV4,EOW4 S&P 500 CALL,O,0.0,1030.0,0.0,0.0,1030.0,1030.0,3785.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E4C,E-MINI S&P 500 WEDNESDAY WEEK4 CALL,O,1013.0,0.0,0.0,0.0,1013.0,1013.0,3854.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),S1A,S&P 500 MONDAY WEEKLY CALL,O,0.0,890.0,0.0,0.0,890.0,890.0,1190.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E3A,E-MINI S&P 500 MONDAY WEEKLY CALL,O,862.0,0.0,0.0,0.0,862.0,862.0,1423.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E4A,E-MINI S&P 500 MONDAY WEEKLY CALL,O,796.0,0.0,0.0,0.0,796.0,796.0,1145.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),XAE,E-mini S&P ENRGY F XAE FUTURE,F,425.0,0.0,0.0,300.0,725.0,725.0,13438.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),QN2,E-MINI NASDAQ 100 WKLY TWO PUT,O,689.0,0.0,0.0,0.0,689.0,689.0,1925.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),XAU,E-mini S&P UTILITY F XAU FUTURE,F,407.0,0.0,0.0,266.0,673.0,673.0,11554.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),SP,S&P 500 CALL,O,0.0,600.0,0.0,0.0,600.0,600.0,7126.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),R3E,E-MINI RUSSELL WEEK 3 PUT OPT,O,591.0,0.0,0.0,0.0,591.0,591.0,7483.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),GA,S&P GSCI ER INDEX FUTURES,F,0.0,0.0,0.0,544.0,544.0,544.0,32378.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),XAP,E-mini S&P STAPLES F XAP FUTURE,F,309.0,0.0,0.0,202.0,511.0,511.0,7917.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EV2,EOW2 S&P 500 CALL,O,0.0,500.0,0.0,0.0,500.0,500.0,3880.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),R3E,E-MINI RUSSELL WEEK 3 CALL OPT,O,463.0,0.0,0.0,0.0,463.0,463.0,6353.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),XAK,E-mini S&P TECH F XAK FUTURE,F,385.0,0.0,0.0,77.0,462.0,462.0,8739.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),XAB,E-mini S&P MATERL F XAB FUTURE,F,229.0,0.0,0.0,219.0,448.0,448.0,3787.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),RSV,EMINI RUSSELL 1000 VALUE FUTURE,F,381.0,0.0,0.0,0.0,381.0,381.0,7743.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),R1E,E-MINI RUSSELL WEEK 1 CALL OPT,O,361.0,0.0,0.0,0.0,361.0,361.0,447.0,20200102
